Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Years_Customer,Days_Customer,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Year_Joined,Month_Joined,Day_Joined,Age_Group,Children,Partner,Education_Level
Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,2,663,1617,25,1,2012,September,Tuesday,Middel Aged,0,No,Graduate
Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,0,113,27,6,0,2014,March,Saturday,Middel Aged,2,No,Graduate
Graduation,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,1,312,776,21,0,2013,August,Wednesday,Middel Aged,0,Yes,Graduate
Graduation,Together,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,0,139,53,8,0,2014,February,Monday,Adult,1,Yes,Graduate
PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,0,161,422,19,0,2014,January,Sunday,Adult,1,Yes,Postgraduate
Master,Together,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,1,293,716,22,0,2013,September,Monday,Middel Aged,1,Yes,Postgraduate
Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,2,593,590,21,0,2012,November,Tuesday,Adult,1,No,Graduate
PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,1,417,169,10,0,2013,May,Wednesday,Adult,1,Yes,Postgraduate
PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,1,388,46,6,1,2013,June,Thursday,Adult,1,Yes,Postgraduate
PhD,Together,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,0,108,49,2,1,2014,March,Thursday,Middel Aged,2,Yes,Postgraduate
Graduation,Married,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,1,226,19,4,0,2013,November,Friday,Adult,1,Yes,Graduate
Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,2,593,61,6,0,2012,November,Tuesday,Adult,0,Yes,Undergraduate
Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1,226,1102,16,0,2013,November,Friday,Middel Aged,0,No,Graduate
